,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
8,11419,Toncoin,TON,toncoin,557,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2532619133.660087,5112073382.172842,True,,9,3414166606.0,19694104764.9028,,2024-09-20T08:00:00.000Z,5.768349069518958,252099978.7213652,-20.4196,-0.51729376,0.16333155,4.37948052,-13.46611439,-18.54164894,-19.86392033,14609031223.094074,0.6594,29488223737.37,,2024-09-20T08:00:00.000Z,,,,,,2024-09-20 13:32:31.612112
9,1958,TRON,TRX,tron,1036,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,86676751858.1479,86676349437.90773,True,,10,71659659264.0,10922131085.350685,,2024-09-20T08:00:00.000Z,0.1524167320571909,304158025.59030694,3.1482,-0.21853406,1.42321169,1.0346753,-5.83799009,11.84941605,28.43034108,13210987263.550951,0.5971,13210925927.97,,2024-09-20T08:00:00.000Z,,,,,,2024-09-20 13:32:31.612112
10,2010,Cardano,ADA,cardano,1252,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35960643044.11,37170426657.961,False,,11,,,,2024-09-20T08:00:00.000Z,0.35982274131070247,290539657.7612248,-5.0864,-0.06603339,3.55118412,0.91575181,0.40549435,-17.24353272,-4.23879913,12939457159.427305,0.5841,16192023358.98,,2024-09-20T08:00:00.000Z,,,,,,2024-09-20 13:32:31.612112
11,5805,Avalanche,AVAX,avalanche,781,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'real-world-assets', 'layer-1']",715748719.0,405933746.3747558,445936846.3747558,False,,12,,,,2024-09-20T08:00:00.000Z,28.235788416742576,478836629.99179786,15.8525,-0.26924011,9.04027763,18.40056442,21.19181641,-11.70827319,11.62519805,11461859373.853249,0.5174,20209729389.24,,2024-09-20T08:00:00.000Z,,,,,,2024-09-20 13:32:31.612112
12,5994,Shiba Inu,SHIB,shiba-inu,877,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589269506497063.4,589518418862384.9,False,,13,,,,2024-09-20T08:00:00.000Z,1.4431473235028626e-05,256860044.49565375,21.4263,-0.1881929,2.79912922,6.99460058,4.75069109,-18.4389407,-19.97601739,8504027111.230897,0.3839,8507619283.37,,2024-09-20T08:00:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-09-20 13:32:31.612112
13,1975,Chainlink,LINK,chainlink,1846,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",,608099970.4527867,1000000000.0,False,,14,,,,2024-09-20T08:00:00.000Z,11.70725757977373,278272989.2541424,0.5128,0.37443538,5.05186462,9.47464507,12.32002093,-18.14409525,-14.86507935,7119182988.343568,0.3213,11707257579.77,,2024-09-20T08:00:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-09-20 13:32:31.612112
14,1831,Bitcoin Cash,BCH,bitcoin-cash,923,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000.0,19763187.5,19763187.5,False,,15,,,,2024-09-20T08:00:00.000Z,343.109797297745,254789258.55680513,-25.3204,-0.09814809,-0.69298614,4.24369561,1.19828769,-11.77245079,-11.11213328,6780943257.082328,0.3061,7205305743.25,,2024-09-20T08:00:00.000Z,,,,,,2024-09-20 13:32:31.612112
0,1,Bitcoin,BTC,bitcoin,11705,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19756484.0,19756484.0,False,,1,,,,2024-09-20T08:02:00.000Z,63508.825070518025,41744838751.521904,-11.2269,-0.38735862,2.3226273,9.27541701,6.00283995,-5.57994948,-1.49358915,1254711086364.4883,56.7132,1333685326480.88,,2024-09-20T08:02:00.000Z,,,,,,2024-09-20 13:33:32.412768
1,1027,Ethereum,ETH,ethereum,9317,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'layer-1', 'ftx-bankruptcy-estate']",,120345932.99257168,120345932.99257168,True,,2,,,,2024-09-20T08:01:00.000Z,2562.535275224712,19758228986.939312,-6.0107,-0.04616699,5.09000379,9.07742412,-1.55764625,-26.3817087,-26.61354857,308390698523.29443,13.9255,308390698523.29,,2024-09-20T08:01:00.000Z,,,,,,2024-09-20 13:33:32.412768
2,825,Tether USDt,USDT,tether,98038,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,119072842113.35646,121386817751.62444,True,,3,,,,2024-09-20T08:01:00.000Z,1.000177533623621,68982235502.5864,-4.7733,0.00642748,-0.02402784,0.01765757,-0.00631252,-0.02906405,0.07943649,119093981546.49168,5.3757,121408367993.24,,2024-09-20T08:01:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-09-20 13:33:32.412768
3,1839,BNB,BNB,bnb,2237,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,145933708.58039922,145933708.58039922,False,,4,,,,2024-09-20T08:01:00.000Z,573.7042530978428,1937042822.9775784,8.7968,-0.33401134,2.97043378,5.70225351,2.19972798,-3.43771403,-2.22990011,83722789282.91618,3.7791,83722789282.92,,2024-09-20T08:01:00.000Z,,,,,,2024-09-20 13:33:32.412768
4,5426,Solana,SOL,solana,737,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,468491732.2454785,584920172.8598255,True,,5,,,,2024-09-20T08:01:00.000Z,151.03851511770148,3226873074.24924,9.2595,-0.1494076,8.99266999,12.21655707,5.45681174,-15.35930051,12.08004619,70760295583.27686,3.1943,88345474371.14,,2024-09-20T08:01:00.000Z,,,,,,2024-09-20 13:33:32.412768
5,3408,USDC,USDC,usd-coin,22144,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'solana-ecosystem', 'hedera-hashgraph-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'base-ecosystem', 'fiat-stablecoin']",,35556991081.38526,35556991081.38526,False,,6,,,,2024-09-20T08:01:00.000Z,1.0000001174774498,6928434724.303116,-13.6072,-0.00518815,-0.02224255,0.00641948,0.00363545,-0.0249424,0.00020443,35556995258.52989,1.6052,35556995258.53,,2024-09-20T08:01:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-09-20 13:33:32.412768
6,52,XRP,XRP,xrp,1391,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,56434507880.0,99987205428.0,False,,7,,,,2024-09-20T08:02:00.000Z,0.5909062869607686,1313983867.0432231,4.9776,0.30417857,0.98697788,4.84208851,-1.29296253,-1.28662473,21.47043822,33347505507.82904,1.5073,59090628696.08,,2024-09-20T08:02:00.000Z,,,,,,2024-09-20 13:33:32.412768
7,74,Dogecoin,DOGE,dogecoin,1067,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,146031776383.7052,146031776383.7052,True,,8,,,,2024-09-20T08:02:00.000Z,0.10669347776698085,661870514.4184713,1.1809,-0.23695409,2.38730756,3.11238376,1.89236406,-22.17358269,-13.93174079,15580638086.867569,0.7042,15580638086.87,,2024-09-20T08:02:00.000Z,,,,,,2024-09-20 13:33:32.412768
8,11419,Toncoin,TON,toncoin,557,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2532619133.660087,5112073382.172842,True,,9,3414166606.0,19692735508.131775,,2024-09-20T08:01:00.000Z,5.767948017980167,252069194.64900887,-20.4519,-0.50963315,0.17353503,4.40144357,-13.55009426,-18.51864143,-19.87066945,14608015512.293348,0.6594,29486173532.47,,2024-09-20T08:01:00.000Z,,,,,,2024-09-20 13:33:32.412768
9,1958,TRON,TRX,tron,1036,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,86676751858.1479,86676349437.90773,True,,10,71659659264.0,10921631281.23947,,2024-09-20T08:01:00.000Z,0.1524097573643672,304158025.59030694,3.5167,-0.20290874,1.42180501,1.01840424,-5.64481919,11.86732298,28.41468383,13210382719.831787,0.5971,13210321387.06,,2024-09-20T08:01:00.000Z,,,,,,2024-09-20 13:33:32.412768
